"","contrast","ratio","lower.HPD","upper.HPD"
"47","STRAT_mod0.1 Hornfels / STRAT_mod2.15 Hornfels",1.23291828213032,0.94840305290511,1.53797853950922
"48","STRAT_mod0.1 Hornfels / STRAT_mod2.88 Hornfels",3.71284172425772,3.26848848115319,4.15835672746695
"49","STRAT_mod0.1 Hornfels / STRAT_mod3.37 Hornfels",1.46857948251528,1.29806756912932,1.65959751694376
"50","STRAT_mod0.1 Hornfels / (STRAT_mod0.01 Opaline/CCS)",1.50933644102788,1.15278000057882,1.98241055104204
"51","STRAT_mod0.1 Hornfels / (STRAT_mod0.09 Opaline/CCS)",2.04860852572937,1.57136575236567,2.56254262407814
"52","STRAT_mod0.1 Hornfels / (STRAT_mod0.1 Opaline/CCS)",1.80861343186926,1.75303564700069,1.86326894710584
"53","STRAT_mod0.1 Hornfels / (STRAT_mod0.2 Opaline/CCS)",0.890542044285678,0.755243141490661,1.03490808422591
"54","STRAT_mod0.1 Hornfels / (STRAT_mod0.3 Opaline/CCS)",2.21246979533485,1.89498657267487,2.52421637087951
"55","STRAT_mod0.1 Hornfels / (STRAT_mod0.82 Opaline/CCS)",1.18803895095862,1.02459432676841,1.33767976377765
"56","STRAT_mod0.1 Hornfels / (STRAT_mod1.08 Opaline/CCS)",1.74957816275804,1.53267545969454,1.97722185230969
"57","STRAT_mod0.1 Hornfels / (STRAT_mod1.44 Opaline/CCS)",1.87159996679019,1.61820027576454,2.12838906665218
"58","STRAT_mod0.1 Hornfels / (STRAT_mod2.15 Opaline/CCS)",2.22799894622985,1.71919436049014,2.79071157681987
"59","STRAT_mod0.1 Hornfels / (STRAT_mod2.88 Opaline/CCS)",6.71313984055551,5.90689501470484,7.57598471451486
"60","STRAT_mod0.1 Hornfels / (STRAT_mod3.37 Opaline/CCS)",2.65554568729119,2.3363141996987,3.01107783837001
"61","STRAT_mod0.2 Hornfels / STRAT_mod0.3 Hornfels",2.48126858857177,2.181364483766,2.82931464250407
"62","STRAT_mod0.2 Hornfels / STRAT_mod0.82 Hornfels",1.32871888100362,1.17240147850868,1.48439617772698
"63","STRAT_mod0.2 Hornfels / STRAT_mod1.08 Hornfels",1.96301029022147,1.75187220716943,2.19103720891229
"64","STRAT_mod0.2 Hornfels / STRAT_mod1.44 Hornfels",2.10219356949182,1.84664254584296,2.36619573205196
"65","STRAT_mod0.2 Hornfels / STRAT_mod2.15 Hornfels",2.50928071673259,1.99081294228433,3.09202315217534
"66","STRAT_mod0.2 Hornfels / STRAT_mod2.88 Hornfels",7.53774094382039,6.69042423215955,8.33116777687668
"67","STRAT_mod0.2 Hornfels / STRAT_mod3.37 Hornfels",2.979154197845,2.6595674748036,3.30528780908019
"68","STRAT_mod0.2 Hornfels / (STRAT_mod0.01 Opaline/CCS)",3.06664139377155,2.35648868749113,4.02739090372548
"69","STRAT_mod0.2 Hornfels / (STRAT_mod0.09 Opaline/CCS)",4.1650800670388,3.13660012937804,5.12156985592515
"70","STRAT_mod0.2 Hornfels / (STRAT_mod0.1 Opaline/CCS)",3.67207223355643,3.13015901609625,4.29935777373154
"71","STRAT_mod0.2 Hornfels / (STRAT_mod0.2 Opaline/CCS)",1.80861343186926,1.75303564700069,1.86326894710584
"72","STRAT_mod0.2 Hornfels / (STRAT_mod0.3 Opaline/CCS)",4.49160294532406,3.89822143824714,5.11062545679102
"73","STRAT_mod0.2 Hornfels / (STRAT_mod0.82 Opaline/CCS)",2.40312789701547,2.10751153478249,2.69551129907115
"74","STRAT_mod0.2 Hornfels / (STRAT_mod1.08 Opaline/CCS)",3.54933177010936,3.16336105916179,3.9905034142942
"75","STRAT_mod0.2 Hornfels / (STRAT_mod1.44 Opaline/CCS)",3.79599145575528,3.31186269623024,4.28745336630878
"76","STRAT_mod0.2 Hornfels / (STRAT_mod2.15 Opaline/CCS)",4.54190958061818,3.57018257829157,5.60437492869199
"77","STRAT_mod0.2 Hornfels / (STRAT_mod2.88 Opaline/CCS)",13.6139921587396,12.0988471280478,15.2800596148156
"78","STRAT_mod0.2 Hornfels / (STRAT_mod3.37 Opaline/CCS)",5.38026252237201,4.76473474654948,6.01448591260913
"79","STRAT_mod0.3 Hornfels / STRAT_mod0.82 Hornfels",0.535988229592633,0.480922501479206,0.588071252143723
"80","STRAT_mod0.3 Hornfels / STRAT_mod1.08 Hornfels",0.790286632006091,0.721773421235625,0.879801976361553
"81","STRAT_mod0.3 Hornfels / STRAT_mod1.44 Hornfels",0.84740352567493,0.754775252852805,0.932125102695083
"82","STRAT_mod0.3 Hornfels / STRAT_mod2.15 Hornfels",1.01081962899063,0.793582497805696,1.23574035739002
"83","STRAT_mod0.3 Hornfels / STRAT_mod2.88 Hornfels",3.0351592804822,2.77593269104215,3.35246850849118
"84","STRAT_mod0.3 Hornfels / STRAT_mod3.37 Hornfels",1.19886568908485,1.09409613416753,1.32519121405156
"85","STRAT_mod0.3 Hornfels / (STRAT_mod0.01 Opaline/CCS)",1.23635561085724,0.937157915160995,1.60504999492543
"86","STRAT_mod0.3 Hornfels / (STRAT_mod0.09 Opaline/CCS)",1.67465704606879,1.30420394294896,2.09622796102216
"87","STRAT_mod0.3 Hornfels / (STRAT_mod0.1 Opaline/CCS)",1.47843987448568,1.27624782055278,1.70519575834767
"88","STRAT_mod0.3 Hornfels / (STRAT_mod0.2 Opaline/CCS)",0.729628004723732,0.639506398554037,0.83420401556069
"89","STRAT_mod0.3 Hornfels / (STRAT_mod0.3 Opaline/CCS)",1.80861343186926,1.75303564700069,1.86326894710584
"90","STRAT_mod0.3 Hornfels / (STRAT_mod0.82 Opaline/CCS)",0.970181228256721,0.860802183532804,1.06968873564722
"91","STRAT_mod0.3 Hornfels / (STRAT_mod1.08 Opaline/CCS)",1.4319618256374,1.2840092077691,1.5922454604198
"92","STRAT_mod0.3 Hornfels / (STRAT_mod1.44 Opaline/CCS)",1.53115989306392,1.35914008856156,1.69183027977632
"93","STRAT_mod0.3 Hornfels / (STRAT_mod2.15 Opaline/CCS)",1.82752412345855,1.45458935626351,2.25582503029045
"94","STRAT_mod0.3 Hornfels / (STRAT_mod2.88 Opaline/CCS)",5.49338374909484,4.96510554593754,6.07456582734513
"95","STRAT_mod0.3 Hornfels / (STRAT_mod3.37 Opaline/CCS)",2.16998572383853,1.95059174174474,2.39352410602682
"96","STRAT_mod0.82 Hornfels / STRAT_mod1.08 Hornfels",1.47590579644883,1.36751920545559,1.58054841329163
"97","STRAT_mod0.82 Hornfels / STRAT_mod1.44 Hornfels",1.57989004995571,1.4534862663441,1.71320038986606
"98","STRAT_mod0.82 Hornfels / STRAT_mod2.15 Hornfels",1.88494462698658,1.4796241611916,2.26810730641822
"99","STRAT_mod0.82 Hornfels / STRAT_mod2.88 Hornfels",5.66201437283151,5.29209764040699,6.04524469175581
"100","STRAT_mod0.82 Hornfels / STRAT_mod3.37 Hornfels",2.23741766871087,2.0797042285325,2.38715714836809
"101","STRAT_mod0.82 Hornfels / (STRAT_mod0.01 Opaline/CCS)",2.30577453295214,1.71083067542647,2.91321703681293
"102","STRAT_mod0.82 Hornfels / (STRAT_mod0.09 Opaline/CCS)",3.12675936706475,2.47382090661841,3.91183701082128
"103","STRAT_mod0.82 Hornfels / (STRAT_mod0.1 Opaline/CCS)",2.75354620134447,2.40571728128644,3.13484164566807
"104","STRAT_mod0.82 Hornfels / (STRAT_mod0.2 Opaline/CCS)",1.3612062070513,1.2075536848629,1.5303176234671
"105","STRAT_mod0.82 Hornfels / (STRAT_mod0.3 Opaline/CCS)",3.37107802995848,3.03906248245712,3.7275373293686
"106","STRAT_mod0.82 Hornfels / (STRAT_mod0.82 Opaline/CCS)",1.80861343186926,1.75303564700069,1.86326894710584
"107","STRAT_mod0.82 Hornfels / (STRAT_mod1.08 Opaline/CCS)",2.67081510363416,2.45003620067708,2.86907180099525
"108","STRAT_mod0.82 Hornfels / (STRAT_mod1.44 Opaline/CCS)",2.85791559611631,2.62268475073792,3.11539172094561
"109","STRAT_mod0.82 Hornfels / (STRAT_mod2.15 Opaline/CCS)",3.40715914815908,2.71356464188693,4.14979716544427
"110","STRAT_mod0.82 Hornfels / (STRAT_mod2.88 Opaline/CCS)",10.2384354113443,9.45166668098759,10.9632908389002
"111","STRAT_mod0.82 Hornfels / (STRAT_mod3.37 Opaline/CCS)",4.04785568545601,3.7553740667045,4.36423143335389
"112","STRAT_mod1.08 Hornfels / STRAT_mod1.44 Hornfels",1.06947589906907,0.98923051694194,1.15636154208052
"113","STRAT_mod1.08 Hornfels / STRAT_mod2.15 Hornfels",1.2755475930041,1.03269625924355,1.56490656358126
"114","STRAT_mod1.08 Hornfels / STRAT_mod2.88 Hornfels",3.83850613261495,3.57588145735871,4.0778437917732
"115","STRAT_mod1.08 Hornfels / STRAT_mod3.37 Hornfels",1.51691517027709,1.41642015223776,1.63485604384806
"116","STRAT_mod1.08 Hornfels / (STRAT_mod0.01 Opaline/CCS)",1.56340179411294,1.16193122653477,1.96934094822621
"117","STRAT_mod1.08 Hornfels / (STRAT_mod0.09 Opaline/CCS)",2.1248888822862,1.66687238060966,2.6305379095007
"118","STRAT_mod1.08 Hornfels / (STRAT_mod0.1 Opaline/CCS)",1.86519405465917,1.64243186801197,2.13659354230786
"119","STRAT_mod1.08 Hornfels / (STRAT_mod0.2 Opaline/CCS)",0.921018003073914,0.821461684682779,1.03090473651558
"120","STRAT_mod1.08 Hornfels / (STRAT_mod0.3 Opaline/CCS)",2.2858333862198,2.03558618481466,2.5070712873043
"121","STRAT_mod1.08 Hornfels / (STRAT_mod0.82 Opaline/CCS)",1.22561561014571,1.13362167800959,1.33390759257501
"122","STRAT_mod1.08 Hornfels / (STRAT_mod1.08 Opaline/CCS)",1.80861343186926,1.75303564700069,1.86326894710584
"123","STRAT_mod1.08 Hornfels / (STRAT_mod1.44 Opaline/CCS)",1.93462698352309,1.77664237460447,2.10419705733116
"124","STRAT_mod1.08 Hornfels / (STRAT_mod2.15 Opaline/CCS)",2.30707799538905,1.84342120368595,2.81560872455129
"125","STRAT_mod1.08 Hornfels / (STRAT_mod2.88 Opaline/CCS)",6.94506681367549,6.42079650506147,7.43591415085648
